1.978,0.975,0
1.912,0.899,0
1.847,0.824,0
1.781,0.748,0
1.715,0.673,0
1.65,0.598,0
1.584,0.522,0
1.518,0.447,0
1.453,0.371,0
1.387,0.296,0
1.321,0.22,0
1.256,0.145,0
1.19,0.07,0
1.124,-0.006,0
1.059,-0.081,0
0.993,-0.157,0
1.021,-0.248,0
1.058,-0.34,0
1.096,-0.433,0
1.134,-0.525,0
1.172,-0.618,0
1.209,-0.711,0
1.247,-0.803,0
1.285,-0.896,0
1.323,-0.988,0
1.36,-1.081,0
1.398,-1.174,0
1.436,-1.266,0
1.474,-1.359,0
1.511,-1.451,0
1.549,-1.544,0
1.526,-1.575,0
1.434,-1.536,0
1.342,-1.496,0
1.25,-1.457,0
1.158,-1.418,0
1.066,-1.379,0
0.974,-1.34,0
0.882,-1.301,0
0.79,-1.262,0
0.698,-1.222,0
0.606,-1.183,0
0.514,-1.144,0
0.422,-1.105,0
0.33,-1.066,0
0.238,-1.027,0
0.146,-0.991,0
0.07,-1.056,0
-0.007,-1.12,0
-0.083,-1.185,0
-0.159,-1.249,0
-0.236,-1.314,0
-0.312,-1.378,0
-0.389,-1.443,0
-0.465,-1.507,0
-0.541,-1.572,0
-0.618,-1.636,0
-0.694,-1.701,0
-0.771,-1.765,0
-0.847,-1.83,0
-0.923,-1.894,0
-1,-1.959,0
-1.025,-1.925,0
-1.016,-1.825,0
-1.007,-1.725,0
-0.999,-1.626,0
-0.99,-1.526,0
-0.981,-1.427,0
-0.972,-1.327,0
-0.963,-1.227,0
-0.955,-1.128,0
-0.946,-1.028,0
-0.937,-0.929,0
-0.928,-0.829,0
-0.919,-0.729,0
-0.911,-0.63,0
-0.902,-0.53,0
-0.909,-0.438,0
-0.994,-0.386,0
-1.079,-0.333,0
-1.164,-0.28,0
-1.249,-0.227,0
-1.334,-0.175,0
-1.419,-0.122,0
-1.503,-0.069,0
-1.588,-0.017,0
-1.673,0.036,0
-1.758,0.089,0
-1.843,0.142,0
-1.928,0.194,0
-2.013,0.247,0
-2.098,0.3,0
-2.183,0.353,0
-2.134,0.383,0
-2.037,0.405,0
-1.939,0.428,0
-1.842,0.45,0
-1.744,0.473,0
-1.647,0.495,0
-1.55,0.517,0
-1.452,0.54,0
-1.355,0.562,0
-1.257,0.585,0
-1.16,0.607,0
-1.062,0.63,0
-0.965,0.652,0
-0.867,0.674,0
-0.77,0.697,0
-0.695,0.742,0
-0.671,0.839,0
-0.647,0.936,0
-0.623,1.033,0
-0.599,1.13,0
-0.575,1.227,0
-0.551,1.324,0
-0.527,1.421,0
-0.503,1.519,0
-0.48,1.616,0
-0.456,1.713,0
-0.432,1.81,0
-0.408,1.907,0
-0.384,2.004,0
-0.36,2.101,0
-0.336,2.198,0
-0.288,2.137,0
-0.237,2.051,0
-0.186,1.965,0
-0.134,1.879,0
-0.083,1.794,0
-0.031,1.708,0
0.02,1.622,0
0.072,1.536,0
0.123,1.451,0
0.174,1.365,0
0.226,1.279,0
0.277,1.193,0
0.329,1.108,0
0.38,1.022,0
0.432,0.936,0
0.504,0.891,0
0.604,0.898,0
0.703,0.905,0
0.803,0.913,0
0.903,0.92,0
1.003,0.927,0
1.102,0.934,0
1.202,0.942,0
1.302,0.949,0
1.402,0.956,0
1.501,0.964,0
1.601,0.971,0
1.701,0.978,0
1.801,0.985,0
1.9,0.993,0
2,1,0
